,CUMV_14730_Ct_leon,CUMV_14742_Ct_leon,CUMV_14744_Ct_leon,NA_CCM1955_Ct_leon,SAMR_62131_Ct_leon,WAMR_117303_Ct_leon,WAMR_119774_Ct_leon,WAMR_129973_Ct_leon,WAMR_131785_Ct_leon,WAMR_144639_Ct_leon,WAMR_166448_Ct_leon
CUMV_14730_Ct_leon,NA,537.781554164886,24.4335834457412,916.626968837378,149.338541575844,378.146796892424,187.944140637584,39.560080889705,613.196542716933,524.486415458017,169.617216107328
CUMV_14742_Ct_leon,537.781554164886,NA,525.206626005423,393.153913881065,394.810080924994,162.68374227316,355.344902876065,501.854560604963,79.454389431925,45.596052460712,457.454915811384
CUMV_14744_Ct_leon,24.4335834457412,525.206626005423,NA,905.409299709253,135.007407204198,365.630961489861,174.281381679168,30,601.464047138314,511.271943294369,163.030671960831
NA_CCM1955_Ct_leon,916.626968837378,393.153913881065,905.409299709253,NA,771.757086135268,541.564400602551,742.026953688341,879.598772168311,321.64110433836,400.421028418838,807.974628314528
SAMR_62131_Ct_leon,149.338541575844,394.810080924994,135.007407204198,771.757086135268,NA,233.373091850796,71.6030725597722,110.575765880233,471.523064123061,378.222156939543,116.679046962169
WAMR_117303_Ct_leon,378.146796892424,162.68374227316,365.630961489861,541.564400602551,233.373091850796,NA,201.643249329106,341.306314034768,239.02091958655,147.006802563691,297.269238233626
WAMR_119774_Ct_leon,187.944140637584,355.344902876065,174.281381679168,742.026953688341,71.6030725597722,201.643249329106,NA,155.157984003402,431.322385229424,345.037679101863,186.045693312154
WAMR_129973_Ct_leon,39.560080889705,501.854560604963,30,879.598772168311,110.575765880233,341.306314034768,155.157984003402,NA,577.704941990286,487.32637933935,138.401589586247
WAMR_131785_Ct_leon,613.196542716933,79.454389431925,601.464047138314,321.64110433836,471.523064123061,239.02091958655,431.322385229424,577.704941990286,NA,108.046286377645,531.162875208725
WAMR_144639_Ct_leon,524.486415458017,45.596052460712,511.271943294369,400.421028418838,378.222156939543,147.006802563691,345.037679101863,487.32637933935,108.046286377645,NA,433.172021257144
WAMR_166448_Ct_leon,169.617216107328,457.454915811384,163.030671960831,807.974628314528,116.679046962169,297.269238233626,186.045693312154,138.401589586247,531.162875208725,433.172021257144,NA
