,NA_ABTC89250_Ct_broo,SAMAR_25688_Ct_eucl,SAMAR_36034_Ct_taen,SAMAR_36575_Ct_eucl,SAMAR_39563_Ct_taen,SAMAR_42658_Ct_taen,SAMAR_47257_Ct_taen,SAMAR_56672_Ct_broo,SAMAR_61390_Ct_eucl,SAMR_35905_Ct_taen,SAMR_44934_Ct_taen,SAMR_46072_Ct_eucl
NA_ABTC89250_Ct_broo,NA,1174.19972747399,2393.67980314828,446.308189483455,248.002016120837,2292.47224628784,2266.59612635335,239.787405841091,1116.37762428311,2463.12484458259,2137.26858396412,200.793426187214
SAMAR_25688_Ct_eucl,1174.19972747399,NA,3565.31934053599,742.642578903203,1391.2462039481,3464.57703046129,3438.21596180345,1411.16441281659,89.8331787259028,3635.44563980814,3309.43167326355,1374.40277939183
SAMAR_36034_Ct_taen,2393.67980314828,3565.31934053599,NA,2835.43612165748,2197.459897245,109.863551735778,127.385242473373,2160.71770483791,3509.08022136856,80.0187478032492,256.959140720855,2194.88291259466
SAMAR_36575_Ct_eucl,446.308189483455,742.642578903203,2835.43612165748,NA,649.950767366268,2733.22739632106,2708.55404228898,675.399881551663,677.727083714381,2904.12241477525,2578.97305142958,641.658008599597
SAMAR_39563_Ct_taen,248.002016120837,1391.2462039481,2197.459897245,649.950767366268,NA,2094.18719316111,2070.96088809036,98.3209031691634,1326.94611797164,2264.41714354931,1940.71378621372,119.159556897464
SAMAR_42658_Ct_taen,2292.47224628784,3464.57703046129,109.863551735778,2733.22739632106,2094.18719316111,NA,52.7541467564399,2058.62551232612,3407.58712287742,171.781838388114,159.793616893792,2093.28330619627
SAMAR_47257_Ct_taen,2266.59612635335,3438.21596180345,127.385242473373,2708.55404228898,2070.96088809036,52.7541467564399,NA,2033.81070898941,3382.06076231637,200.833264177028,130.81666560496,2067.88636051404
SAMAR_56672_Ct_broo,239.787405841091,1411.16441281659,2160.71770483791,675.399881551663,98.3209031691634,2058.62551232612,2033.81070898941,NA,1351.08289901101,2229.29540438229,1904.08586991238,44.2944691807002
SAMAR_61390_Ct_eucl,1116.37762428311,89.8331787259028,3509.08022136856,677.727083714381,1326.94611797164,3407.58712287742,3382.06076231637,1351.08289901101,NA,3578.54593375578,3252.89594054283,1315.54817471653
SAMR_35905_Ct_taen,2463.12484458259,3635.44563980814,80.0187478032492,2904.12241477525,2264.41714354931,171.781838388114,200.833264177028,2229.29540438229,3578.54593375578,NA,327.146756059112,2263.95185461175
SAMR_44934_Ct_taen,2137.26858396412,3309.43167326355,256.959140720855,2578.97305142958,1940.71378621372,159.793616893792,130.81666560496,1904.08586991238,3252.89594054283,327.146756059112,NA,1938.33768987759
SAMR_46072_Ct_eucl,200.793426187214,1374.40277939183,2194.88291259466,641.658008599597,119.159556897464,2093.28330619627,2067.88636051404,44.2944691807002,1315.54817471653,2263.95185461175,1938.33768987759,NA
