,AMSR_111496_Ct_essi,NA_CCM3982_Ct_essi,NA_CCM4853_Ct_essi,NA_CCM5043_Ct_essi,NA_CCM5044_Ct_essi,NA_CCM6122_Ct_essi,NA_CCM6150_Ct_essi,NA_K021_Ct_essi,NA_K073_Ct_essi,NA_NEB008_Ct_essi,NTMR_13717_Ct_essi,NTMR_22188_Ct_essi,NTMR_22191_Ct_essi
AMSR_111496_Ct_essi,NA,546.820811601022,356.771635643867,201.774626749748,97.9642792042079,346.307666678057,317.657047773223,163.743702168969,153.202480397675,545.029357007492,156.993630444041,38.7685439499603,38.7685439499603
NA_CCM3982_Ct_essi,546.820811601022,NA,652.589457469242,571.356281141636,452.214550849483,632.321120950423,617.160432950785,599.619045728202,548.844240199348,351.79539508072,433.038104558941,528.849695093039,528.849695093039
NA_CCM4853_Ct_essi,356.771635643867,652.589457469242,NA,155.990384319034,347.279426398973,20.3715487874634,43.4741302385683,198.610170937946,205.866461571573,432.301977788675,289.276684162412,324.248361599562,324.248361599562
NA_CCM5043_Ct_essi,201.774626749748,571.356281141636,155.990384319034,NA,197.022841315417,144.68586662145,115.943951976806,59.152345684681,50.0199960015992,439.763572843409,154.330813514347,168.766110342094,168.766110342094
NA_CCM5044_Ct_essi,97.9642792042079,452.214550849483,347.279426398973,197.022841315417,NA,332.373284124943,304.534070343533,186.909068800848,149.759807692184,457.429776031251,78.5238817176023,77.3821684886124,77.3821684886124
NA_CCM6122_Ct_essi,346.307666678057,632.321120950423,20.3715487874634,144.68586662145,332.373284124943,NA,28.9309522829789,191.381817318156,194.041232731603,414.70712557177,272.275595674677,312.83861654214,312.83861654214
NA_CCM6150_Ct_essi,317.657047773223,617.160432950785,43.4741302385683,115.943951976806,304.534070343533,28.9309522829789,NA,163.688728995004,165.284603033676,414.790308469231,246.132078364442,284.223503602359,284.223503602359
NA_K021_Ct_essi,163.743702168969,599.619045728202,198.610170937946,59.152345684681,186.909068800848,191.381817318156,163.688728995004,NA,51.0392006206994,493.537232638025,168.442868652846,137.466359521157,137.466359521157
NA_K073_Ct_essi,153.202480397675,548.844240199348,205.866461571573,50.0199960015992,149.759807692184,194.041232731603,165.284603033676,51.0392006206994,NA,450.233272870853,119.205704561485,119.281180409988,119.281180409988
NA_NEB008_Ct_essi,545.029357007492,351.79539508072,432.301977788675,439.763572843409,457.429776031251,414.70712557177,414.790308469231,493.537232638025,450.233272870853,NA,388.085042226572,510.029410916665,510.029410916665
NTMR_13717_Ct_essi,156.993630444041,433.038104558941,289.276684162412,154.330813514347,78.5238817176023,272.275595674677,246.132078364442,168.442868652846,119.205704561485,388.085042226572,NA,123.020323524205,123.020323524205
NTMR_22188_Ct_essi,38.7685439499603,528.849695093039,324.248361599562,168.766110342094,77.3821684886124,312.83861654214,284.223503602359,137.466359521157,119.281180409988,510.029410916665,123.020323524205,NA,0
NTMR_22191_Ct_essi,38.7685439499603,528.849695093039,324.248361599562,168.766110342094,77.3821684886124,312.83861654214,284.223503602359,137.466359521157,119.281180409988,510.029410916665,123.020323524205,0,NA
