,NA_CCM0753_Ct_robu,NA_CCM0823_Ct_robu,NA_CCM0830_Ct_inor,NA_CCM0847_Ct_robu,NA_CCM0849_Ct_inor,NA_CCM0850_Ct_inor,NA_CCM0946_Ct_inor,NA_CCM0980_Ct_mast,NA_CCM1061_Ct_sp,NA_CCM1206_Ct_robu,NA_CCM1390_Ct_inor,NA_CCM1529_Ct_inor,NA_CCM1579_Ct_inor
NA_CCM0753_Ct_robu,NA,262.994296516103,368.192884233251,9.21954445729289,57.8013840664737,60.9015599143405,335.293900928723,112.147224664724,711.085086329336,423.369814701048,473.154308867625,932.949623506007,806.129642179222
NA_CCM0823_Ct_robu,262.994296516103,NA,132.113587491976,272.167228005137,304.126618368074,296.305585502535,423.020094085376,319.857780896448,457.46475274058,681.250321100842,218.954333138214,672.076632535308,549.797235351361
NA_CCM0830_Ct_inor,368.192884233251,132.113587491976,NA,377.302266094441,397.239222635429,386.485446039046,426.072763738777,395.336565473016,343.691722332674,766.379801403977,111.063045159045,571.600384884405,439.751065945269
NA_CCM0847_Ct_robu,9.21954445729289,272.167228005137,377.302266094441,NA,53.0094331227943,58.0861429258304,336.489227167825,110.190743712891,720.247873998945,414.722798987468,482.348421786575,942.168774689546,815.317116219205
NA_CCM0849_Ct_inor,57.8013840664737,304.126618368074,397.239222635429,53.0094331227943,NA,14.142135623731,294.884723239438,61.773780845922,740.755695219416,377.267809387443,505.511622022679,967.236268964311,836.95519593345
NA_CCM0850_Ct_inor,60.9015599143405,296.305585502535,386.485446039046,58.0861429258304,14.142135623731,NA,283.353136562841,52.5357021462548,729.785584949443,385.298585515182,495.219143410268,957.071575170844,826.151317858902
NA_CCM0946_Ct_inor,335.293900928723,423.020094085376,426.072763738777,336.489227167825,294.884723239438,283.353136562841,NA,234.48027635603,714.303856912449,475.491324842,526.20433293541,952.149673108173,809.169327149763
NA_CCM0980_Ct_mast,112.147224664724,319.857780896448,395.336565473016,110.190743712891,61.773780845922,52.5357021462548,234.48027635603,NA,735.458360480048,371.584445314924,505.697538060054,966.679884967097,832.534683962176
NA_CCM1061_Ct_sp,711.085086329336,457.46475274058,343.691722332674,720.247873998945,740.755695219416,729.785584949443,714.303856912449,735.458360480048,NA,1106.27754203003,239.33867217815,238.098719022174,97.3909646733207
NA_CCM1206_Ct_robu,423.369814701048,681.250321100842,766.379801403977,414.722798987468,377.267809387443,385.298585515182,475.491324842,371.584445314924,1106.27754203003,NA,876.568879210299,1337.8740598427,1203.4571035147
NA_CCM1390_Ct_inor,473.154308867625,218.954333138214,111.063045159045,482.348421786575,505.511622022679,495.219143410268,526.20433293541,505.697538060054,239.33867217815,876.568879210299,NA,462.1969277267,333.229650541485
NA_CCM1529_Ct_inor,932.949623506007,672.076632535308,571.600384884405,942.168774689546,967.236268964311,957.071575170844,952.149673108173,966.679884967097,238.098719022174,1337.8740598427,462.1969277267,NA,143.958327303425
NA_CCM1579_Ct_inor,806.129642179222,549.797235351361,439.751065945269,815.317116219205,836.95519593345,826.151317858902,809.169327149763,832.534683962176,97.3909646733207,1203.4571035147,333.229650541485,143.958327303425,NA
