,SAMR_31899_Ct_atla,SAMR_32080_Ct_atla,SAMR_32256_Ct_atla,SAMR_37942_Ct_atla,SAMR_55208_Ct_atla,SAMR_57397_Ct_atla,SAMR_60360_Ct_atla,WAMR_113416_Ct_atla,WAMR_126428_Ct_atla,WAMR_135218_Ct_atla,WAMR_135237_Ct_atla,WAMR_136457_Ct_atla
SAMR_31899_Ct_atla,NA,0.338926174496644,0.441176470588235,0.452,1.49230769230769,0.435424354243542,0.261016949152542,0.328467153284672,0.783333333333333,0.61965811965812,0.966292134831461,1.09230769230769
SAMR_32080_Ct_atla,0.338926174496644,NA,0.407643312101911,0.472972972972973,1.56521739130435,0.404,0.290566037735849,0.316872427983539,0.691244239631336,0.593137254901961,0.736196319018405,1
SAMR_32256_Ct_atla,0.441176470588235,0.407643312101911,NA,0.576158940397351,1.8125,0.693333333333333,0.251428571428571,0.386904761904762,0.955882352941177,0.574193548387097,0.762295081967213,1.17757009345794
SAMR_37942_Ct_atla,0.452,0.472972972972973,0.576158940397351,NA,1.95098039215686,0.272727272727273,0.48015873015873,0.440816326530612,0.92822966507177,0.747524752475248,1.04761904761905,1.43396226415094
SAMR_55208_Ct_atla,1.49230769230769,1.56521739130435,1.8125,1.95098039215686,NA,1.83783783783784,1.46511627906977,1.4251968503937,2.71111111111111,1.57142857142857,2.49367088607595,4.47368421052632
SAMR_57397_Ct_atla,0.435424354243542,0.404,0.693333333333333,0.272727272727273,1.83783783783784,NA,0.445255474452555,0.361867704280156,0.825112107623318,0.632075471698113,1.05357142857143,1.27745664739884
SAMR_60360_Ct_atla,0.261016949152542,0.290566037735849,0.251428571428571,0.48015873015873,1.46511627906977,0.445255474452555,NA,0.282051282051282,0.786885245901639,0.578947368421053,0.71505376344086,1.2258064516129
WAMR_113416_Ct_atla,0.328467153284672,0.316872427983539,0.386904761904762,0.440816326530612,1.4251968503937,0.361867704280156,0.282051282051282,NA,0.575757575757576,0.430379746835443,0.592783505154639,0.989189189189189
WAMR_126428_Ct_atla,0.783333333333333,0.691244239631336,0.955882352941177,0.92822966507177,2.71111111111111,0.825112107623318,0.786885245901639,0.575757575757576,NA,0.763157894736842,0.96078431372549,0.577181208053691
WAMR_135218_Ct_atla,0.61965811965812,0.593137254901961,0.574193548387097,0.747524752475248,1.57142857142857,0.632075471698113,0.578947368421053,0.430379746835443,0.763157894736842,NA,0.473684210526316,0.956521739130435
WAMR_135237_Ct_atla,0.966292134831461,0.736196319018405,0.762295081967213,1.04761904761905,2.49367088607595,1.05357142857143,0.71505376344086,0.592783505154639,0.96078431372549,0.473684210526316,NA,1.52136752136752
WAMR_136457_Ct_atla,1.09230769230769,1,1.17757009345794,1.43396226415094,4.47368421052632,1.27745664739884,1.2258064516129,0.989189189189189,0.577181208053691,0.956521739130435,1.52136752136752,NA
