group,niche_breadth,range_size,log_nb,log_rs
atlas_gr_cluster_1,0.0332433837361376,38910,-1.47829477721222,4.59006123080374
atlas_gr_cluster_2,0.0828592236346202,599136,-1.08165914022406,5.77752541562045
atlas_gr_cluster_3,0.140937608514207,108373,-0.850973102058952,5.03492109574859
atlas_gr_cluster_4,0.0109567934819715,451352,-1.96031652403003,5.65451537121592
atlas_gr_cluster_5,1.85942802360904,667017,0.269379371963928,5.82413690275029
atlas_gr_cluster_7,0.157339405852148,404208,-0.803162494154309,5.60660490472969
atlas_gr_cluster_8,0.0347728076393455,624583,-1.4587602419297,5.79559015935837
colletti_gr_cluster_2,0.000443569254254289,310,-3.35303856434989,2.49136169383427
colletti_gr_cluster_4,0.0768782834491254,251820,-1.11419632222941,5.40109021959513
essingtonii_gr_cluster_2,0.00136752518868233,574,-2.86406466557589,2.75891189239797
essingtonii_gr_cluster_3,0.000420725364405369,443,-3.37600130474262,2.64640372622307
essingtonii_gr_cluster_4,3.26485116742954e-05,970,-4.4861366118276,2.98677173426624
essingtonii_gr_cluster_5,0.00451979193531209,12624,-2.34488155709695,4.10119698586534
essingtonii_gr_cluster_6,0.15977134405147,142399,-0.796501111356866,5.15350693946933
inornatus_gr_cluster_1,0.464895888876322,118012,-0.332644294312121,5.0719261706011
inornatus_gr_cluster_2,0.312016491810259,2713290,-0.505822450491478,6.43349621420719
inornatus_gr_cluster_3,0.0544299856459321,415628,-1.26416178021339,5.61870479739303
inornatus_gr_cluster_4,0.0600997692646431,291517,-1.22112719533977,5.46466388599354
inornatus_gr_cluster_5,0.138350391395962,244520,-0.85901960789371,5.38831438711774
inornatus_gr_cluster_6,0.554996888451487,1105282,-0.255709451710004,6.04347309740487
inornatus_gr_cluster_7,0.128273234757801,259723,-0.891863953209092,5.4145104106643
inornatus_gr_cluster_8,0.00923009028362635,129819,-2.03479405092545,5.1133382594234
inornatus_gr_cluster_9,0.00726607193412298,23587,-2.138700306936,4.37267270704506
leonhardii_gr_cluster_1,0.013011662466159,538066,-1.88566721122064,5.73083555016041
leonhardii_gr_cluster_10,0.063756291917563,717093,-1.1954769495569,5.85557548309827
leonhardii_gr_cluster_11,0.266476696897951,579255,-0.574340763564717,5.76286979121132
leonhardii_gr_cluster_12,0.409193667474743,990670,-0.388071095883768,5.99592901165337
leonhardii_gr_cluster_2,0.188666847605956,649198,-0.724304407024869,5.81237717321473
leonhardii_gr_cluster_3,0.0195083872882556,144926,-1.70977863120828,5.16114630571684
leonhardii_gr_cluster_4,0.0020889271781008,26714,-2.68007669965599,4.42673892163663
leonhardii_gr_cluster_5,0.0654660314360866,1367,-1.18398398529838,3.13576851456782
leonhardii_gr_cluster_6,0.00598807764985429,35967,-2.22271257661813,4.55590421491663
leonhardii_gr_cluster_7,0.0278739928287901,241973,-1.55480081602634,5.38376690893418
leonhardii_gr_cluster_8,0.0260641758967896,871325,-1.5839560021444,5.94018017496175
leonhardii_gr_cluster_9,0.576677025186549,277461,-0.239067350537187,5.44320194718804
pantherinus_gr_cluster_1,0.428970851091906,62994,-0.367572217465697,4.79929918610464
pantherinus_gr_cluster_2,0.0464904114938132,150840,-1.33263660979236,5.17851652373358
pantherinus_gr_cluster_3,0.932379183978625,305964,-0.0304074309731393,5.48567033000739
pantherinus_gr_cluster_4,0.338476273152592,2136795,-0.470471769519632,6.3297628587858
schomburgkii_gr_cluster_1,0.000675301201785918,1729,-3.17050247739587,3.23779499327392
schomburgkii_gr_cluster_2,0.0317970508308939,484985,-1.49761315886036,5.68572830660645
schomburgkii_gr_cluster_3,0.0131930636427603,474111,-1.87965434253939,5.67588003164016
schomburgkii_gr_cluster_4,0.167850649249305,152104,-0.775076974553917,5.18214063519097
schomburgkii_gr_cluster_5,0.360402788728372,1014343,-0.443211857191704,6.00618483647517
schomburgkii_gr_cluster_6,0.212018492818912,559639,-0.673626257095112,5.74790797189308
schomburgkii_gr_cluster_7,0.119996267202635,1096778,-0.920832263606645,6.04011873046269
schomburgkii_gr_cluster_8,0.0717099918168965,128653,-1.1444203270573,5.10941991777726
taeniolatus_gr_cluster_2,2.48142174885343,426502,0.394700584358249,5.62992107204968
