SAMPLE_ID,miss_prop
AMSR_138399_Ct_uber,0.28
AMSR_152993_Ct_uber,0.31
AMSR_153434_Ct_uber,0.26
CUMV_14377_Ct_gree,0.32
CUMV_14378_Ct_gree,0.31
CUMV_14379_Ct_uber,0.43
CUMV_14467_Ct_leae,0.28
CUMV_14468_Ct_leae,0.26
CUMV_14469_Ct_leae,0.23
CUMV_14470_Ct_leae,0.2
CUMV_14730_Ct_leon,0.24
CUMV_14742_Ct_leon,0.24
CUMV_14744_Ct_leon,0.27
CUMV_14847_Ct_quat,0.31
NA_ABTC10512_Ct_leae,0.24
NA_ABTC113897_Ct_hebe,0.29
NA_ABTC86833_Ct_regi,0.39
NA_CCM1955_Ct_leon,0.17
NTMR_13629_Ct_gree,0.34
NTMR_18309_Ct_regi,0.72
NTMR_20881_Ct_gagu,0.77
NTMR_22387_Ct_mili,0.38
NTMR_25649_Ct_leon,0.3
QMJ_62372_Ct_regi,0.64
QMJ_62373_Ct_asta,0.3
SAMAR_24688_Ct_leae,0.26
SAMAR_25645_Ct_orie,0.33
SAMAR_28517_Ct_olym,0.27
SAMAR_29853_Ct_leae,0.32
SAMAR_31877_Ct_regi,0.27
SAMAR_31889_Ct_leae,0.25
SAMAR_32054_Ct_leae,0.26
SAMAR_32289_Ct_regi,0.33
SAMAR_36086_Ct_leae,0.22
SAMAR_38335_Ct_orie,0.49
SAMAR_38585_Ct_leae,0.18
SAMAR_39580_Ct_orie,0.46
SAMAR_40597_Ct_regi,0.16
SAMAR_40799_Ct_leae,0.2
SAMAR_40888_Ct_regi,0.18
SAMAR_41282_Ct_olym,0.34
SAMAR_42675_Ct_pulc,0.36
SAMAR_42701_Ct_pulc,0.3
SAMAR_42708_Ct_pulc,0.32
SAMAR_42776_Ct_hebe,0.27
SAMAR_42788_Ct_hebe,0.28
SAMAR_42823_Ct_asta,0.33
SAMAR_42840_Ct_asta,0.3
SAMAR_42843_Ct_asta,0.34
SAMAR_42880_Ct_hebe,0.32
SAMAR_42903_Ct_asta,0.29
SAMAR_42949_Ct_orie,0.32
SAMAR_42950_Ct_orie,0.31
SAMAR_43599_Ct_olym,0.29
SAMAR_43880_Ct_leae,0.24
SAMAR_44654_Ct_olym,0.3
SAMAR_44726_Ct_sept,0.31
SAMAR_45620_Ct_olym,0.5
SAMAR_45966_Ct_leae,0.25
SAMAR_46332_Ct_leae,0.25
SAMAR_46343_Ct_olym,0.78
SAMAR_48098_Ct_regi,0.19
SAMAR_49444_Ct_orie,0.25
SAMAR_51242_Ct_regi,0.25
SAMAR_51421_Ct_regi,0.17
SAMAR_51431_Ct_leae,0.18
SAMAR_52787_Ct_leae,0.17
SAMAR_52918_Ct_orie,0.39
SAMAR_53967_Ct_regi,0.33
SAMAR_54164_Ct_regi,0.31
SAMAR_54242_Ct_leae,0.18
SAMAR_55677_Ct_hebe,0.3
SAMAR_57181_Ct_regi,0.17
SAMAR_57722_Ct_regi,0.16
SAMAR_61391_Ct_orie,0.38
SAMAR_62424_Ct_orie,0.48
SAMAR_66522_Ct_leae,0.25
SAMAR_67475_Ct_orie,0.54
SAMR_22246_Ct_leon,0.19
SAMR_36241_Ct_hele,0.19
SAMR_42708_Ct_pulc,0.36
SAMR_42772_Ct_pulc,0.37
SAMR_42801_Ct_asta,0.51
SAMR_43844_Ct_quat,0.22
SAMR_44403_Ct_quat,0.33
SAMR_46944_Ct_leon,0.22
SAMR_46967_Ct_sept,0.31
SAMR_47236_Ct_regi,0.4
SAMR_48330_Ct_regi,0.3
SAMR_48771_Ct_gree,0.37
SAMR_48772_Ct_quat,0.37
SAMR_48964_Ct_olym,0.29
SAMR_49090_Ct_leon,0.25
SAMR_51082_Ct_leon,0.23
SAMR_51580_Ct_leon,0.22
SAMR_54025_Ct_pulc,0.35
SAMR_54030_Ct_pulc,0.32
SAMR_55163_Ct_regi,0.21
SAMR_55678_Ct_hebe,0.31
SAMR_58939_Ct_quat,0.27
SAMR_62088_Ct_quat,0.5
SAMR_62131_Ct_leon,0.31
SAMR_65346_Ct_hebe,0.3
SAMR_65347_Ct_hebe,0.26
SAMR_65379_Ct_hebe,0.34
SAMR_65380_Ct_hebe,0.28
UMMZ_242606_Ct_aust,0.3
UMMZ_242607_Ct_aust,0.29
UMMZ_242645_Ct_quat,0.27
UMMZ_242646_Ct_quat,0.32
UMMZ_242653_Ct_tana,0.4
WAMR_110738_Ct_ruti,0.49
WAMR_112780_Ct_orie,0.44
WAMR_115114_Ct_aust,0.3
WAMR_115119_Ct_aust,0.31
WAMR_117303_Ct_leon,0.41
WAMR_119774_Ct_leon,0.16
WAMR_127029_Ct_leon,0.55
WAMR_127432_Ct_quat,0.24
WAMR_129972_Ct_quat,0.7
WAMR_129973_Ct_leon,0.37
WAMR_131053_Ct_quat,0.83
WAMR_131785_Ct_leon,0.18
WAMR_139086_Ct_quat,0.58
WAMR_139164_Ct_serv,0.44
WAMR_139532_Ct_iape,0.31
WAMR_144639_Ct_leon,0.26
WAMR_145331_Ct_quat,0.85
WAMR_145646_Ct_uber,0.39
WAMR_146927_Ct_mime,0.48
WAMR_154802_Ct_uber,0.7
WAMR_157205_Ct_iape,0.65
WAMR_166448_Ct_leon,0.46
